date,ticker,open,high,low,close,volume,atr,active_side_asof,last_confirmed_side_asof,market_bias_asof,market_bias_after_close,bos_up_on_close_flag,bos_down_on_close_flag,choch_up_on_close_flag,choch_down_on_close_flag,choch_any_on_close_flag,bos_any_on_close_flag,structure_break_event_on_close,structure_break_level_kind_on_close,structure_break_level_value_on_close,structure_break_threshold_on_close,high_break_attempt_on_close_flag,low_break_attempt_on_close_flag,confirmed_high_on_close_flag,confirmed_low_on_close_flag,confirmed_high_label_on_close,confirmed_low_label_on_close,confirmed_high_value_on_close,confirmed_low_value_on_close,confirmed_high_swing_date_on_close,confirmed_low_swing_date_on_close,confirmed_high_bars_to_confirmation_on_close,confirmed_low_bars_to_confirmation_on_close,confirmation_event_on_close,high_candidate_value_asof,high_candidate_date_asof,high_candidate_bars_active_asof,high_candidate_confluence_count_asof,high_candidate_confluence_short_hits_asof,high_candidate_confluence_long_hits_asof,high_candidate_breaks_structure_asof,high_confirmed_value_asof,high_confirmed_swing_date_asof,high_confirmed_available_on_asof,high_confirmed_structure_label_asof,high_confirmed_breaks_structure_asof,low_candidate_value_asof,low_candidate_date_asof,low_candidate_bars_active_asof,low_candidate_confluence_count_asof,low_candidate_confluence_short_hits_asof,low_candidate_confluence_long_hits_asof,low_candidate_breaks_structure_asof,low_confirmed_value_asof,low_confirmed_swing_date_asof,low_confirmed_available_on_asof,low_confirmed_structure_label_asof,low_confirmed_breaks_structure_asof
2021-10-05 23:59:59.999000+00:00,BTC/USDT,49199.78,51888.0,49009.21,51455.12,314043.813,2645.2642857142864,high,low,bearish,bullish,False,False,True,False,True,False,choch_up,high,48850.0,925.8425000000002,True,False,False,False,,,,,,,,,,49304.12,2021-10-03 23:59:59.999000+00:00,1,4,4,0,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-06 23:59:59.999000+00:00,BTC/USDT,51460.22,56416.02,50410.0,55321.6,418731.748,2828.659285714286,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,990.03075,True,False,False,False,,,,,,,,,,51888.0,2021-10-05 23:59:59.999000+00:00,0,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-07 23:59:59.999000+00:00,BTC/USDT,55327.45,55337.8,53374.34,53814.99,262974.545,2831.729285714286,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,991.1052500000001,False,False,False,False,,,,,,,,,,56416.02,2021-10-06 23:59:59.999000+00:00,0,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-08 23:59:59.999000+00:00,BTC/USDT,53814.99,56208.73,53647.3,53975.0,255210.035,2694.379285714286,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,943.0327500000001,False,False,False,False,,,,,,,,,,56416.02,2021-10-06 23:59:59.999000+00:00,1,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-09 23:59:59.999000+00:00,BTC/USDT,53974.99,55589.0,53656.66,54960.77,167495.393,2738.136428571429,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,958.34775,False,False,False,False,,,,,,,,,,56416.02,2021-10-06 23:59:59.999000+00:00,2,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-10 23:59:59.999000+00:00,BTC/USDT,54960.79,56789.0,54101.0,54700.0,289072.818,2700.494285714286,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,945.173,True,False,False,False,,,,,,,,,,56416.02,2021-10-06 23:59:59.999000+00:00,3,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-11 23:59:59.999000+00:00,BTC/USDT,54700.0,57880.0,54458.0,57500.01,314868.05,2781.289285714286,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,973.4512500000001,True,False,False,False,,,,,,,,,,56789.0,2021-10-10 23:59:59.999000+00:00,0,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-12 23:59:59.999000+00:00,BTC/USDT,57500.01,57756.52,53750.0,56011.84,349147.775,2932.1121428571428,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,1026.2392499999999,False,False,False,False,,,,,,,,,,57880.0,2021-10-11 23:59:59.999000+00:00,0,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-13 23:59:59.999000+00:00,BTC/USDT,56011.83,57822.38,54271.24,57393.65,327714.318,3052.3314285714287,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,1068.316,False,False,False,False,,,,,,,,,,57880.0,2021-10-11 23:59:59.999000+00:00,1,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
2021-10-14 23:59:59.999000+00:00,BTC/USDT,57393.65,58586.67,56800.0,57378.19,254719.751,2986.220714285714,high,low,bullish,bullish,True,False,False,False,False,True,bos_up,high,48850.0,1045.17725,True,False,False,False,,,,,,,,,,57880.0,2021-10-11 23:59:59.999000+00:00,2,6,5,1,True,48850.0,2021-09-18 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,LH,False,,,0,0,0,0,False,40725.01,2021-09-26 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,LL,True
