kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
high,2023-06-28 23:59:59.999000+00:00,2023-06-23 23:59:59.999000+00:00,31500.0,810,5,1364.4375000000005,1695.4000000000015,1433.7000000000007,close,confluence,HH,True,26775.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2023-07-16 23:59:59.999000+00:00,2023-07-13 23:59:59.999000+00:00,31850.0,830,3,1062.839285714286,1800.0,1633.2000000000007,close,confluence,HH,True,31500.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2023-08-15 23:59:59.999000+00:00,2023-08-08 23:59:59.999000+00:00,30250.0,856,7,645.660714285714,1200.0,1061.2000000000007,close,forced_maturity,LH,False,31850.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
high,2023-09-05 23:59:59.999000+00:00,2023-08-29 23:59:59.999000+00:00,28168.0,877,7,935.2946428571424,2636.7999999999993,2388.2999999999993,close,forced_maturity,LH,False,30250.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2023-09-26 23:59:59.999000+00:00,2023-09-19 23:59:59.999000+00:00,27480.0,898,7,699.4285714285717,1406.2000000000007,1271.2000000000007,close,forced_maturity,LH,False,28168.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2023-10-10 23:59:59.999000+00:00,2023-10-06 23:59:59.999000+00:00,28450.0,915,4,932.8750000000001,1169.0,1068.7999999999993,close,confluence,HH,True,27480.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2023-10-27 23:59:59.999000+00:00,2023-10-23 23:59:59.999000+00:00,35981.9,932,4,1980.0267857142862,2631.9000000000015,2088.800000000003,close,confluence,HH,True,28450.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2023-11-13 23:59:59.999000+00:00,2023-11-09 23:59:59.999000+00:00,38499.9,949,4,1483.0446428571427,2149.9000000000015,2013.7000000000044,close,confluence,HH,True,35981.9,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2023-12-11 23:59:59.999000+00:00,2023-12-08 23:59:59.999000+00:00,44779.3,978,3,1919.7053571428564,4551.0,3508.300000000003,close,confluence,HH,True,38499.9,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2023-12-26 23:59:59.999000+00:00,2023-12-20 23:59:59.999000+00:00,44384.6,990,6,2008.0624999999989,2787.5999999999985,1846.0999999999985,wick_override,confluence,LH,False,44779.3,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,0,1.0,15,critical,True,True
high,2024-01-14 23:59:59.999000+00:00,2024-01-11 23:59:59.999000+00:00,49027.5,1012,3,3327.9910714285725,7314.0,7292.5999999999985,close,confluence,HH,True,44384.6,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2024-02-23 23:59:59.999000+00:00,2024-02-20 23:59:59.999000+00:00,53090.9,1052,3,2030.1428571428582,2578.2000000000044,2319.0,close,confluence,HH,True,49027.5,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2024-03-16 23:59:59.999000+00:00,2024-03-13 23:59:59.999000+00:00,73755.0,1074,3,5647.6875,9005.0,8404.0,close,confluence,HH,True,53090.9,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2024-04-02 23:59:59.999000+00:00,2024-03-27 23:59:59.999000+00:00,71888.0,1088,6,4359.455357142856,7284.800000000003,6382.699999999997,close,confluence,LH,False,73755.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,0,1.0,15,critical,True,True
high,2024-04-16 23:59:59.999000+00:00,2024-04-09 23:59:59.999000+00:00,71820.6,1101,7,4652.410714285713,10299.600000000006,8055.600000000006,close,forced_maturity,EQH,False,71888.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
high,2024-04-29 23:59:59.999000+00:00,2024-04-22 23:59:59.999000+00:00,67222.0,1114,7,3408.4910714285706,5495.800000000003,3379.5999999999985,wick_override,forced_maturity,LH,False,71820.6,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2024-05-13 23:59:59.999000+00:00,2024-05-06 23:59:59.999000+00:00,65500.0,1128,7,3514.0535714285716,4750.0,2587.9000000000015,wick_override,forced_maturity,LH,False,67222.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2024-05-24 23:59:59.999000+00:00,2024-05-21 23:59:59.999000+00:00,72132.8,1143,3,3291.0625,5493.800000000003,3548.699999999997,close,confluence,HH,True,65500.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2024-06-10 23:59:59.999000+00:00,2024-06-07 23:59:59.999000+00:00,72144.0,1160,3,2222.4732142857115,2942.800000000003,2585.300000000003,close,confluence,EQH,True,72132.8,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,1.0,10,high,False,True
high,2024-07-08 23:59:59.999000+00:00,2024-07-01 23:59:59.999000+00:00,63849.0,1184,7,3058.0535714285716,9605.900000000001,7162.5999999999985,close,forced_maturity,LH,False,72144.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
