kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
low,2023-02-20 23:59:59.999000+00:00,2023-02-13 23:59:59.999000+00:00,21338.0,680,7,1254.2499999999995,3802.0,3511.9000000000015,close,forced_maturity,HL,False,16320.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
low,2023-03-13 23:59:59.999000+00:00,2023-03-10 23:59:59.999000+00:00,19521.6,705,3,1290.7589285714287,4995.600000000002,4597.9000000000015,close,confluence,LL,True,21338.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2023-04-03 23:59:59.999000+00:00,2023-03-27 23:59:59.999000+00:00,26480.0,722,7,1543.633928571429,2060.0,1306.0999999999985,wick_override,forced_maturity,HL,False,19521.6,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2023-05-01 23:59:59.999000+00:00,2023-04-24 23:59:59.999000+00:00,26919.3,750,7,1544.258928571429,2406.2000000000007,1135.1000000000022,wick_override,forced_maturity,HL,False,26480.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
low,2023-05-23 23:59:59.999000+00:00,2023-05-18 23:59:59.999000+00:00,26335.3,774,5,1013.1071428571431,1192.2000000000007,874.6000000000022,wick_override,confluence,LL,True,26919.3,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,2,2.0,9,high,False,False
low,2023-06-09 23:59:59.999000+00:00,2023-06-05 23:59:59.999000+00:00,25360.1,792,4,1165.8839285714291,1414.9000000000015,1108.0,wick_override,confluence,LL,True,26335.3,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2023-06-19 23:59:59.999000+00:00,2023-06-16 23:59:59.999000+00:00,25142.1,803,3,1177.696428571429,1934.9000000000015,1686.4000000000015,close,confluence,LL,True,25360.1,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2023-07-10 23:59:59.999000+00:00,2023-06-30 23:59:59.999000+00:00,29500.0,817,10,1064.6964285714291,1540.0,896.9000000000015,wick_override,forced_maturity,HL,False,25142.1,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2023-08-07 23:59:59.999000+00:00,2023-08-01 23:59:59.999000+00:00,28550.0,849,6,646.1785714285718,724.5,652.7000000000007,close,confluence,LL,True,29500.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2023-08-20 23:59:59.999000+00:00,2023-08-17 23:59:59.999000+00:00,24581.0,865,3,1020.6785714285717,1704.0,1594.9000000000015,close,confluence,LL,True,28550.0,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2023-09-14 23:59:59.999000+00:00,2023-09-11 23:59:59.999000+00:00,24888.0,890,3,826.2678571428569,1992.0,1622.2999999999993,close,confluence,HL,False,24581.0,7,5,2,True,"1,3,7,10,30,90,180","[1, 3, 7, 10, 30, 90, 180]",180,45.857142857142854,global,4,0,1.0,12,critical,True,True
